Date,pm25,pm10,o3,no2,so2,co,Cumulative,Daily
5/1/2020,145,65,28,3,6,4,3515,76
5/2/2020,95,50,19,5,5,4,3738,223
5/3/2020,93,38,27,4,6,4,4122,384
5/4/2020,89,67,31,7,7,5,4549,427
5/5/2020,127,94,31,8,8,5,4898,349
5/6/2020,145,49,35,6,6,4,5104,206
5/7/2020,89,66,43,6,7,4,5532,428
5/8/2020,122,73,43,5,7,5,5980,448
5/9/2020,139,75,24,6,6,5,6318,338
5/10/2020,110,55,37,8,7,5,6542,224
5/11/2020,116,61,38,6,10,5,6923,381
5/12/2020,120,86,35,9,11,6,7233,310
5/13/2020,157,70,39,10,7,5,7639,406
5/14/2020,150,69,30,12,9,6,7998,359
4/1/2020,103,52,14,4,7,2,152,55
4/2/2020,97,49,20,5,7,3,152,0
4/3/2020,90,59,18,8,8,4,219,67
4/4/2020,115,76,21,8,10,4,386,167
4/5/2020,135,84,20,8,10,4,445,59
4/6/2020,135,70,16,5,8,3,503,58
4/7/2020,90,62,18,5,8,3,523,20
4/8/2020,88,62,20,7,9,4,576,53
4/9/2020,102,76,22,10,11,4,669,93
4/10/2020,129,78,24,7,11,4,720,51
4/11/2020,127,63,20,6,7,4,903,183
4/12/2020,108,81,22,8,9,4,1069,166
4/13/2020,131,83,27,9,7,5,1154,85
4/14/2020,132,107,21,10,6,5,1510,356
4/15/2020,134,118,25,9,8,5,1561,51
4/16/2020,140,65,23,4,6,3,1578,17
4/17/2020,77,65,23,4,6,3,1640,62
4/18/2020,88,45,19,8,4,4,1707,67
4/19/2020,89,84,15,10,6,5,1893,186
4/20/2020,140,59,21,6,6,4,2003,110
4/21/2020,117,79,26,9,7,5,2081,78
4/22/2020,133,75,22,8,6,4,2156,75
4/23/2020,128,75,31,8,6,5,2248,92
4/24/2020,139,53,26,5,5,3,2376,128
4/25/2020,74,71,18,5,5,4,2514,138
4/26/2020,102,34,26,3,5,4,2625,111
4/27/2020,81,52,31,4,6,4,2918,293
4/28/2020,101,67,31,5,6,4,3108,190
4/29/2020,130,69,33,5,6,4,3314,206
4/30/2020,131,85,34,5,7,5,3439,125
3/2/2020,179,125,2,31,7,11,1,1
3/3/2020,165,108,23,20,10,6,1,0
3/4/2020,152,50,19,14,7,4,1,0
3/5/2020,121,35,13,15,7,4,2,1
3/6/2020,85,61,17,16,6,6,3,1
3/9/2020,158,92,39,13,12,5,4,1
3/10/2020,159,78,20,11,9,4,4,0
3/11/2020,147,98,21,16,9,7,5,1
3/12/2020,148,134,26,18,10,4,6,1
3/13/2020,148,56,13,13,6,4,6,0
3/14/2020,129,84,25,17,8,5,7,1
3/15/2020,160,87,24,24,10,4,7,0
3/16/2020,145,97,27,24,12,5,7,0
3/17/2020,152,99,27,21,11,6,8,1
3/18/2020,149,121,32,20,12,6,10,2
3/19/2020,188,117,26,23,10,9,12,2
3/20/2020,169,122,31,21,12,6,17,5
3/21/2020,172,90,25,10,13,4,26,9
3/22/2020,157,81,33,10,8,5,29,3
3/23/2020,140,69,22,9,7,4,29,0
3/24/2020,138,56,11,6,10,4,30,1
3/25/2020,126,63,10,5,7,3,31,1
3/26/2020,127,36,9,4,7,2,36,5
3/27/2020,84,29,8,4,4,3,36,0
3/28/2020,82,45,10,3,7,2,39,3
3/29/2020,91,50,13,5,7,2,39,0
3/30/2020,100,54,15,5,8,3,53,14
3/31/2020,101,58,16,5,9,3,97,44
3/7/2020,112,113,17,20,8,10,3,0
3/8/2020,157,87,20,19,10,4,3,0
